player_height,player_weight,gp,pts,ast,net_rating,dreb_pct,ast_*_oreb_pct,net_rating_*_dreb_pct,pts_*_net_rating,ast_*_dreb_pct,age,age_^2,reb,reb_^2,reb_^3,reb_*_dreb_pct,reb_*_dreb_pct_^2,reb_*_dreb_pct_^3,reb_*_dreb_pct_^4,gp_*_oreb_pct,gp_*_oreb_pct_^2,oreb_pct,oreb_pct_^2,oreb_pct_^3,oreb_pct_^4,reb_*_usg_pct,reb_*_usg_pct_^2,reb_*_usg_pct_^3,reb_*_usg_pct_^4,pts_*_dreb_pct,pts_*_dreb_pct_^2,oreb_pct_*_usg_pct,oreb_pct_*_usg_pct_^2,oreb_pct_*_usg_pct_^3,oreb_pct_*_usg_pct_^4,usg_pct,usg_pct_^2,net_rating_*_oreb_pct,net_rating_*_oreb_pct_^2
198.12,86.18248,27,5.0,0.8,0.5,0.081,0.0152,0.0405,2.5,0.06480000000000001,24.0,576.0,1.1,1.2100000000000002,1.3310000000000004,0.08910000000000001,0.007938810000000003,0.0007073479710000003,6.302470421610004e-05,0.513,0.263169,0.019,0.000361,6.859e-06,1.30321e-07,0.21670000000000003,0.04695889000000002,0.010175991463000005,0.0022051373500321016,0.405,0.16402500000000003,0.0037430000000000002,1.4010049000000002e-05,5.243961340700001e-08,1.9628147298240104e-10,0.197,0.038809,0.0095,9.025e-05
193.04,95.25431999999999,48,5.7,1.1,3.3,0.141,0.0748,0.46529999999999994,18.81,0.1551,23.0,529.0,3.6,12.96,46.656000000000006,0.5075999999999999,0.25765775999999996,0.13078707897599998,0.06638752128821758,3.2640000000000002,10.653696000000002,0.068,0.0046240000000000005,0.00031443200000000007,2.1381376000000006e-05,0.5256,0.27625535999999995,0.14519981721599995,0.07631702392872956,0.8037,0.64593369,0.009928,9.856518399999999e-05,9.785551467519998e-07,9.715095496953853e-09,0.146,0.021315999999999998,0.22440000000000002,0.05035536000000001
180.34,81.64656,13,2.3,0.9,-9.7,0.038,0.018000000000000002,-0.3686,-22.309999999999995,0.0342,23.0,529.0,0.4,0.16000000000000003,0.06400000000000002,0.0152,0.00023104,3.511808e-06,5.3379481600000006e-08,0.26,0.06760000000000001,0.02,0.0004,8.000000000000001e-06,1.6000000000000003e-07,0.07440000000000002,0.005535360000000003,0.00041183078400000036,3.0640210329600035e-05,0.08739999999999999,0.007638759999999999,0.003720000000000001,1.3838400000000008e-05,5.1478848000000045e-08,1.9150131456000022e-10,0.18600000000000005,0.03459600000000002,-0.19399999999999998,0.03763599999999999
185.42,81.64656,67,6.1,2.6,0.3,0.05,0.1014,0.015,1.8299999999999998,0.13,29.0,841.0,1.1,1.2100000000000002,1.3310000000000004,0.05500000000000001,0.0030250000000000008,0.00016637500000000007,9.150625000000005e-06,2.613,6.827769,0.039,0.001521,5.9319e-05,2.313441e-06,0.24420000000000003,0.059633640000000016,0.014562534888000005,0.0035561710196496017,0.305,0.093025,0.008658,7.496096400000001e-05,6.490120263120002e-07,5.619146123809298e-09,0.222,0.049284,0.0117,0.00013689
187.96,80.73937600000002,13,0.3,0.7,3.8,0.15,0.030799999999999998,0.57,1.14,0.105,21.0,441.0,0.6,0.36,0.216,0.09,0.0081,0.0007289999999999999,6.560999999999999e-05,0.572,0.3271839999999999,0.044,0.0019359999999999998,8.518399999999999e-05,3.748095999999999e-06,0.049800000000000004,0.00248004,0.000123505992,6.150598401600001e-06,0.045,0.002025,0.003652,1.3337103999999999e-05,4.870710380799999e-08,1.7787834310681597e-10,0.083,0.006889000000000001,0.1672,0.027955839999999996
210.82,97.52228,18,2.6,0.3,-19.4,0.094,0.0351,-1.8235999999999999,-50.44,0.0282,23.0,529.0,1.9,3.61,6.858999999999999,0.17859999999999998,0.031897959999999996,0.005696975655999999,0.0010174798521615997,2.1060000000000003,4.4352360000000015,0.117,0.013689000000000002,0.0016016130000000002,0.00018738872100000005,0.266,0.07075600000000001,0.018821096000000006,0.005006411536000002,0.2444,0.059731360000000004,0.016380000000000002,0.00026830440000000005,4.394826072000001e-06,7.198725105936003e-08,0.14,0.019600000000000003,-2.2698,5.1519920400000006
185.42,81.64656,6,1.8,0.7,8.0,0.03,0.0679,0.24,14.4,0.020999999999999998,23.0,529.0,0.7,0.48999999999999994,0.3429999999999999,0.020999999999999998,0.00044099999999999993,9.260999999999998e-06,1.9448099999999995e-07,0.5820000000000001,0.3387240000000001,0.097,0.009409,0.0009126730000000001,8.852928100000002e-05,0.20509999999999998,0.04206600999999999,0.008627738650999996,0.001769549197320099,0.054,0.0029159999999999998,0.028421,0.0008077532409999999,2.2957154862460997e-05,6.52465298346004e-07,0.293,0.085849,0.776,0.602176
190.5,74.389088,42,6.4,1.0,-2.4,0.108,0.024,-0.2592,-15.36,0.108,24.0,576.0,1.7,2.8899999999999997,4.912999999999999,0.18359999999999999,0.033708959999999996,0.006188965055999999,0.0011362939842815998,1.008,1.016064,0.024,0.000576,1.3824e-05,3.31776e-07,0.40459999999999996,0.16370115999999996,0.06623348933599997,0.026798069785345584,0.6912,0.47775744000000003,0.005712,3.2626944e-05,1.86365104128e-07,1.064517474779136e-09,0.238,0.05664399999999999,-0.0576,0.00331776
205.74,97.52228,7,2.3,0.0,27.1,0.083,0.0,2.2493000000000003,62.33,0.0,23.0,529.0,0.7,0.48999999999999994,0.3429999999999999,0.0581,0.00337561,0.000196122941,1.1394742872099999e-05,0.455,0.20702500000000001,0.065,0.0042250000000000005,0.000274625,1.7850625000000003e-05,0.1421,0.02019241,0.0028693414610000004,0.00040773342160810007,0.1909,0.03644280999999999,0.013195000000000002,0.00017410802500000006,2.297355389875001e-06,3.0313604369400646e-08,0.203,0.041209,1.7615,3.1028822500000004
200.66,83.91452,71,4.0,1.1,-0.7,0.078,0.023100000000000002,-0.054599999999999996,-2.8,0.0858,21.0,441.0,1.4,1.9599999999999997,2.7439999999999993,0.10919999999999999,0.011924639999999999,0.0013021706879999997,0.00014219703912959994,1.491,2.2230810000000005,0.021,0.00044100000000000004,9.261000000000002e-06,1.9448100000000006e-07,0.16659999999999997,0.02775555999999999,0.0046240762959999975,0.0007703711109135994,0.312,0.097344,0.002499,6.245001e-06,1.5606257499e-08,3.9000037490001e-11,0.119,0.014160999999999998,-0.0147,0.00021609
